SampleName	SampleID	occurence
1088	GB01000051S	109161
7799	GB01023301S	25363
3319	GB01011499S	51058
5830	GB01023404S	34389
13712	GB01018964S	10555
14159	GB01019564S	9930
15458	GB01002202S	7742
9273	GB01022864S	20207
6644	GB01012663S	30340
5740	GB01020409S	34935
12526	GB01009619S	12100
6682	GB01010763S	30168
10632	GB01013359S	16405
5530	GB01016678S	36217
3644	GB01018143S	48359
16335	GB01002034S	5554
5479	GB01023746S	36525
1741	GB01011618S	77655
18141	GB01021072S	1022
12918	GB01018782S	11589
9652	GB01008711S	19155
5938	GB01023931S	33832
17431	GB01021637S	2219
8965	GB01009879S	21170
18503	GB01019355S	523
2089	GB01024122S	68562
8537	GB01000776S	22590
5424	GB01018091S	36850
9263	GB01014000S	20231
9085	GB01010550S	20774
14606	GB01019130S	9278
16774	GB01011802S	4136
17820	GB01023009S	1441
12710	GB01018755S	11838
13548	GB01015686S	10763
6889	GB01022928S	29061
10185	GB01009428S	17609
6111	GB01016712S	32949
8186	GB01008422S	23867
3752	GB01007694S	47438
4313	GB01008542S	43331
816	GB01004547S	129516
8728	GB01013150S	21976
18165	GB01021597S	991
7089	GB01023442S	28176
9821	GB01004727S	18702
3106	GB01015391S	53018
14932	GB01000251S	8748
7418	GB01021314S	26806
8398	GB01013231S	23117
14374	GB01013952S	9628
322	GB01001093S	190817
18722	GB01016961S	28
9561	GB01020304S	19420
344	GB01002795S	186908
883	GB01001085S	123706
8498	GB01016006S	22701
16651	GB01019889S	4474
9470	GB01000644S	19651
14741	GB01007294S	9101
9995	GB01011310S	18176
12169	GB01003004S	12639
18183	GB01021041S	950
18210	GB01020720S	912
18541	GB01023040S	461
2559	GB01011741S	58853
7730	GB01012494S	25588
10670	GB01004467S	16319
3046	GB01024028S	53713
17538	GB01010810S	1980
953	GB01000658S	117657
10137	GB01007389S	17731
16007	GB01002375S	6503
9536	GB01009202S	19474
14948	GB01001128S	8724
232	GB01002821S	212586
5786	GB01016344S	34714
6650	GB01008386S	30302
5785	GB01021382S	34717
6875	GB01003775S	29133
